iter	Passed	Remaining
0	0	18
1	0	19
2	0	18
3	0	16
4	0	16
5	1	17
6	1	17
7	1	17
8	1	17
9	1	16
10	2	16
11	2	16
12	2	16
13	2	16
14	2	16
15	3	15
16	3	15
17	3	15
18	3	15
19	3	15
20	3	14
21	4	14
22	4	14
23	4	14
24	4	13
25	4	13
26	5	13
27	5	13
28	5	13
29	5	12
30	5	12
31	5	12
32	6	12
33	6	12
34	6	11
35	6	11
36	6	11
37	6	11
38	7	11
39	7	11
40	7	10
41	7	10
42	7	10
43	7	10
44	8	9
45	8	9
46	8	9
47	8	9
48	8	9
49	9	9
50	9	8
51	9	8
52	9	8
53	9	8
54	9	8
55	10	7
56	10	7
57	10	7
58	10	7
59	10	7
60	10	7
61	11	6
62	11	6
63	11	6
64	11	6
65	11	6
66	12	5
67	12	5
68	12	5
69	12	5
70	12	5
71	13	5
72	13	4
73	13	4
74	13	4
75	13	4
76	14	4
77	14	4
78	14	3
79	14	3
80	14	3
81	14	3
82	15	3
83	15	2
84	15	2
85	15	2
86	15	2
87	16	2
88	16	2
89	16	1
90	16	1
91	16	1
92	17	1
93	17	1
94	17	0
95	17	0
96	17	0
97	18	0
98	18	0
99	18	0
